headline 	 snippet 	 date	name
Ralph G. Martin, a Best-Selling Biographer, Dies at 92	Mr. Martin’s subjects included Winston Churchill’s mother, Golda Meir and the Kennedys.	2013-01-14T00:00:00Z	Ralph G. Martin
Luciano Vincenzoni, Screenwriter, Dies at 87	Mr. Vincenzoni, who worked with prominent filmmakers like Billy Wilder and Dino De Laurentiis, was most associated with “For a Few Dollars More” and “The Good, the Bad and the Ugly.”	2013-09-26T00:00:00Z	Luciano Vincenzoni
Alex Colville, Leading Canadian Artist, Dies at 92	Mr. Colville, a figurative painter, revealed emotional and cultural tension in his spare and precise depictions of moments that might otherwise seem mundane.	2013-07-22T00:00:00Z	Alex Colville
Dean Jeffries, Car Customizer and Painter, Dies at 80	Mr. Jeffries was a virtual one-stop shop in the world of custom cars, and created the Monkeemobile and the “Bikini Beach” Mantaray.	2013-05-12T00:00:00Z	Dean Jeffries
Alan Abelson, Who at Barron’s Was a Thorn in Wall Street’s Side, Dies at 87	Mr. Abelson was an editor and a columnist at Barron’s magazine who delivered sharp and influential commentary on the stock markets.	2013-05-11T00:00:00Z	Alan Abelson
Bob Perry, Big Backer of ‘Swift Boat’ Ads, Dies at 80	Mr. Perry gave $4.4 million to a group for its attack ads accusing John Kerry, the 2004 Democratic presidential nominee, of overstating his military accomplishments.	2013-04-16T00:00:00Z	Bob Perry
Jewel Akens, Singer of ‘The Birds and the Bees,’ Dies at 79	Mr. Akens had a Top 10 hit in 1965 with “The Birds and the Bees.”	2013-03-07T00:00:00Z	Jewel Akens
Robert Lindgren, 89, Ballet Dancer and College Dean, Is Dead	Mr. Lindgren appeared with major American ballet companies before becoming the founding dean of the influential dance program at the North Carolina School of the Arts.	2013-05-15T00:00:00Z	Robert Lindgren
George Saimes, Top Defensive Back, Dies at 71	Saimes, regarded as one of the American Football League’s best safeties, spent seven seasons with the Buffalo Bills and helped them win A.F.L. championships in 1964 and ’65.	2013-03-11T00:00:00Z	George Saimes
William P. Clark, Influential Adviser in Reagan White House, Is Dead at 81	As one of President Ronald Reagan’s most trusted advisers, Mr. Clark nudged him toward more hard-line positions on military spending, arms control and involvement in Central America.	2013-08-13T00:00:00Z	William P. Clark
Thomas M. Messer, Museum Director Who Gave Guggenheim Cachet, Dies at 93	Mr. Messer’s charm and diplomacy attracted donations of major collections and his leadership helped established the Guggenheim among the world’s great museums of modern art.	2013-05-16T00:00:00Z	Thomas M. Messer
George Saimes, Top Defensive Back, Dies at 71	Saimes, regarded as one of the American Football League’s best safeties, spent seven seasons with the Buffalo Bills and helped them win A.F.L. championships in 1964 and ’65.	2013-03-11T00:00:00Z	George Saimes
Robert C. Holland, Governor for Fed, Dies at 87	Mr. Holland was the first staff member of the Federal Reserve System to be appointed directly to its Board of Governors.	2013-01-08T00:00:00Z	Robert C. Holland
Marc Rich, Financier and Famous Fugitive, Dies at 78	Mr. Rich, who made billions in commodities as founder of Glencore International, was a fugitive on charges of tax evasion and trading with Iran until he was pardoned by President Bill Clinton.	2013-06-27T00:00:00Z	Marc Rich
Infamous Train Robber Dies	Ronnie Biggs, who helped steal more than $7 million from a mail train in England in 1963 but became better known for his prison escape, died in London.	2013-12-19T00:00:00Z	Infamous Train Robber Dies
X Games Retain Snowmobile Event	The Winter X Games will keep the snowmobiling freestyle event as part of its program, adding extra precautions after Caleb Moore’s death from injuries he sustained in a crash last January in Aspen, Colo.	2013-11-28T00:00:00Z	X Games Retain Snowmobile Event
Jack Clement, Producer and Country Songwriter, Dies at 82	Mr. Clement worked with stars like Johnny Cash and Waylon Jennings, and had a long association with Charley Pride.	2013-08-09T00:00:00Z	Jack Clement
Henry Hope Reed, Architectural Historian, Is Dead at 97	Mr. Reed, a writer and critic, was known for being a fierce opponent of modern architecture.	2013-05-03T00:00:00Z	Henry Hope Reed
4-Year-Old Boy Fatally Shoots 6-Year-Old in New Jersey	A New Jersey boy died on Tuesday after being shot in the head a day earlier by his 4-year-old neighbor while they were playing outside.	2013-04-10T00:00:00Z	4-Year-Old Boy Fatally Shoots 6-Year-Old in New Jersey
Congo: Many Dead After Attack	At least 31 people were killed Wednesday when gunmen attacked an army base in eastern Democratic Republic of Congo, the military said, underlining the challenge facing a new United Nations intervention force in the territory.	2013-05-16T00:00:00Z	Congo: Many Dead After Attack
Vince Flynn, Wrote Best-Selling Thrillers, Dies at 47	Mr. Flynn, author of Mitch Rapp killer-for-hire thrillers, got his start selling a self-published book out of the trunk of his car.	2013-06-21T00:00:00Z	Vince Flynn
Saul Landau, Maker of Films With Leftist Edge, Dies at 77	Mr. Landau’s passion for asking what he called “the most intrusive questions” yielded penetrating cinematic profiles of leaders like Fidel Castro and Salvador Allende.	2013-09-12T00:00:00Z	Saul Landau
Doug Kenna II, a Winner in Football and Business, Dies at 88	Mr. Kenna, the quarterback on Army’s undefeated national championship team of 1944, went on to become a corporate executive and president of the National Association of Manufacturers.	2013-02-13T00:00:00Z	Doug Kenna II
Layhmond Robinson Jr., Who Paved Way for Black Journalists, Dies at 88	Mr. Robinson, one of the first black reporters at The New York Times in the 1950s and a local television news correspondent, inspired the next generation of black journalists.	2013-07-12T00:00:00Z	Layhmond Robinson Jr.
Mandawuy Yunupingu, Australian Musician and Educator, Dies at 56	Mr. Yunupingu was the former lead singer of the Australian indigenous band Yothu Yindi, which won fans with its combination of traditional sounds and modern pop and rock.	2013-06-04T00:00:00Z	Mandawuy Yunupingu
Bob Turley, Pitcher With a Blazing Fastball, Dies at 82	Mr. Turley was a Cy Young-winning, right-handed pitcher who helped lift the Yankees to a come-from-behind victory over the Milwaukee Braves in the 1958 World Series.	2013-03-31T00:00:00Z	Bob Turley
Erwin Harris, 91, Ad Executive, Dies;&#xd; Seized Castro&#x2019;s Plane for Unpaid Bills	Erwin Harris left behind a respectable record of achievement as an advertising executive, an estimable collection of Chinese antiquities (his lifelong hobby), a loving family and a remarkable if little-remembered role in the tortured history of diplo	2013-03-20T00:00:00Z	Erwin Harris
James Gandolfini Is Dead at 51; a Complex Mob Boss in ‘The Sopranos’	Mr. Gandolfini won three Emmy Awards for his lead role as a New Jersey mob kingpin on the HBO drama.	2013-06-20T00:00:00Z	James Gandolfini Is Dead at 51; a Complex Mob Boss in ‘The Sopranos’
Cordell Mosson, Funk Guitarist, Dies at 60	Mr. Mosson played bass, drums and rhythm guitar in George Clinton’s group, Parliament-Funkadelic, for more than 40 years.	2013-04-26T00:00:00Z	Cordell Mosson
Doug Kenna II, a Winner in Football and Business, Dies at 88	Mr. Kenna, the quarterback on Army’s undefeated national championship team of 1944, went on to become a corporate executive and president of the National Association of Manufacturers.	2013-02-13T00:00:00Z	Doug Kenna II
James Gandolfini Is Dead at 51; a Complex Mob Boss in ‘The Sopranos’	Mr. Gandolfini won three Emmy Awards for his lead role as a New Jersey mob kingpin on the HBO drama.	2013-06-20T00:00:00Z	James Gandolfini Is Dead at 51; a Complex Mob Boss in ‘The Sopranos’
Cordell Mosson, Funk Guitarist, Dies at 60	Mr. Mosson played bass, drums and rhythm guitar in George Clinton’s group, Parliament-Funkadelic, for more than 40 years.	2013-04-26T00:00:00Z	Cordell Mosson
Robert G. Edwards Dies at 87; Changed Rules of Conception With First ‘Test Tube Baby’	Dr. Edwards, a physiologist working out of the University of Cambridge in England, changed the prospects for infertile couples and forged a brand-new industry.	2013-04-11T00:00:00Z	Robert G. Edwards Dies at 87; Changed Rules of Conception With First ‘Test Tube Baby’
Chinua Achebe, African Literary Titan, Dies at 82	Mr. Achebe, the celebrated author of “Things Fall Apart,” wrote stirring essays and poignant poems rooted in his native Nigeria’s cities and countryside.	2013-03-23T00:00:00Z	Chinua Achebe
Walt Bellamy, Hall of Famer Traded by the Knicks, Dies at 74	Bellamy was a Hall of Fame center who was among the leading N.B.A. scorers and rebounders of his time, but he was overshadowed in his 14-year N.B.A. career by Wilt Chamberlain and Bill Russell.	2013-11-04T00:00:00Z	Walt Bellamy
Huell Howser, Folksy Public TV Host, Is Dead at 67	Mr. Howser roamed the highways of the Golden State as the host of “California’s Gold,” perhaps the most popular public television show in the state.	2013-01-11T00:00:00Z	Huell Howser
Louis Gerstner III, Son of Ex-I.B.M. Chief, Dies at 41	Louis V. Gerstner III, the son of the former chief executive of International Business Machines, served as president of the Gerstner Family Foundation.	2013-08-20T17:44:10Z	Louis Gerstner III
Richie Phillips, Union Leader Who Helped and Hurt Umpires, Dies at 72	Mr. Phillips quintupled the salaries of major league baseball umpires as their representative, but caused many of them to lose their jobs by having them resign en masse.	2013-06-05T00:00:00Z	Richie Phillips
Francis Lawrence, Former Rutgers President, Dies at 75	As leader of the New Jersey university for 12 years, Dr. Lawrence oversaw a building boom and a push for more diversity, but also faced a threat of a no-confidence vote.	2013-04-18T00:00:00Z	Francis Lawrence
George Beverly Shea Dies at 104; Stirring Singer at Billy Graham Revivals	Mr. Shea, a Grammy Award-winning gospel singer, performed live for an estimated 200 million people on Billy Graham’s evangelistic crusades.	2013-04-18T00:00:00Z	George Beverly Shea Dies at 104; Stirring Singer at Billy Graham Revivals
A Novelist Who Made Crime an Art, and His Bad Guys ‘Fun’	Mr. Leonard’s louche characters, deadpan dialogue and immaculate prose style in novels like “Get Shorty” secured his status as a modern master of American genre writing.	2013-08-21T00:00:00Z	A Novelist Who Made Crime an Art
Gerald W. Lynch, Who Fought to Save John Jay College, Dies at 76	After New York City proposed closing or merging several colleges in the CUNY system in 1975, Dr. Lynch supported student protests and found savings in the budget.	2013-04-18T00:00:00Z	Gerald W. Lynch
A Major League Umpire Dies	Wally Bell, who worked the National League division series between the Pittsburgh Pirates and the St. Louis Cardinals that ended last week, has died, apparently of a heart attack, at 48.	2013-10-15T00:00:00Z	A Major League Umpire Dies
Frank Bank, Lumpy on ‘Leave It to Beaver,’ Dies at 71	Mr. Bank’s character on the 1950s-’60s hit television series was the closest thing the show had to a bad guy, but even he was lovable.	2013-04-17T00:00:00Z	Frank Bank
Delaware: Three Dead in Courthouse Shooting	Motivated by a long child custody dispute, a man opened fire on Monday in the lobby of the New Castle County Courthouse, leaving two women dead before police officers fatally shot him.	2013-02-12T00:00:00Z	Delaware: Three Dead in Courthouse Shooting
Ronnie Biggs, Longtime Fugitive After the Great Train Robbery, Dies at 84	Mr. Biggs gained international fame for his role in one of Britain’s best-known crimes, the Great Train Robbery of 1963, and his subsequent life on the run.	2013-12-19T00:00:00Z	Ronnie Biggs
Paul F. Crouch, Who Built Evangelical TV Network, Dies at 79	Mr. Crouch and his wife were the faces of one of the largest Christian television empires, drawing tens of millions of dollars in donations annually.	2013-12-02T00:00:00Z	Paul F. Crouch
Fernando Alonso, a Founder of Cuban Ballet, Dies at 98	Mr. Alonso, who with his brother and then-wife, Alicia Alonso, began the Ballet Nacional de Cuba, was a dancer and teacher who mixed classical rigor with Latin physicality.	2013-08-03T00:00:00Z	Fernando Alonso
Michael Kammen, Historian of U.S. Psyche, Dies at 77	Mr. Kammen, a Pulitzer Prize-winning author, helped cast the form of the modern scholarly field known as memory studies.	2013-12-07T00:00:00Z	Michael Kammen
Robert Bowie, 104, Adviser to Truman, Eisenhower, Johnson and Carter, Dies	Robert R. Bowie, a Harvard foreign policy expert, was an analyst on the Cold War, national security and conflicts around the globe.	2013-11-21T00:00:00Z	Robert Bowie
Syd Field, Who Wrote the Book on Writing Screenplays, Dies at 77	Thanks to Mr. Field, a teacher who wrote the definitive guide to screenwriting, the term “plot points” is in the filmmaking vocabulary.	2013-11-19T00:00:00Z	Syd Field
Leo Branton Jr., Activists’ Lawyer, Dies at 91	Mr. Branton successfully defended the activist and academic Angela Davis in 1972, and also argued cases on behalf of the Black Panthers and the Communist Party.	2013-04-28T00:00:00Z	Leo Branton Jr.
Louis Waldon, Actor in Warhol Films Seized for Obscenity, Dies at 78	Mr. Waldon, one of the few Warhol Superstars who had acting experience, starred in “Lonesome Cowboys” and “Blue Movie.”	2013-12-11T00:00:00Z	Louis Waldon
Paul Walker, 40, Star of ‘Fast and Furious’ Movies, Dies in Crash	Mr. Walker, who was killed in a car crash, was best known for the “Fast and the Furious” movie series about street racing.	2013-12-02T00:00:00Z	Paul Walker
Herbert Mitgang, Wide-Ranging Author and Journalist, Dies at 93	Mr. Mitgang, a longtime reporter and editor for The New York Times, told of mountains of F.B.I. and C.I.A. records squirreled away on America&#8217;s most well-known writers.	2013-11-22T00:00:00Z	Herbert Mitgang
Walt Arfons, Who Built Cars That Set Speed Records, Dies at 96	Arfons, with his half-brother, Art, built some of the fastest racecars in the 1950s and ’60s.	2013-06-14T00:00:00Z	Walt Arfons
Rev. John Grange, Who Welcomed Bronx’s Latinos, Dies at 73	Father Grange helped rebuild the impoverished South Bronx parish where he was raised into a more hospitable place for Hispanic immigrants in New York City.	2013-10-18T00:00:00Z	Rev. John Grange
Ted Hood, Champion of America’s Cup and Innovator in Yachting, Dies at 86	Hood was a yachtsman, sailmaker, rigging builder and boat designer who captained Courageous, the 1974 America’s Cup winner.	2013-07-05T00:00:00Z	Ted Hood
Lothar Schmid, Chess Referee of the ‘Match of the Century,’ Dies at 85	Mr. Schmid was a German grandmaster who negotiated a truce between Bobby Fischer and Boris Spassky that saved their 1972 world-championship match.	2013-05-21T00:00:00Z	Lothar Schmid
Jake McNiece, Who Led Incorrigible D-Day Unit, Is Dead at 93	The Filthy 13 were famed during World War II as model soldiers, except for maybe the obeying orders part.	2013-02-14T00:00:00Z	Jake McNiece
Paul Walker, 40, Star of ‘Fast and Furious’ Movies, Dies in Crash	Mr. Walker, who was killed in a car crash, was best known for the “Fast and the Furious” movie series about street racing.	2013-12-02T00:00:00Z	Paul Walker
Adolph Herseth, 91, Trumpeter With Chicago Symphony, Dies	Mr. Herseth was the principal trumpeter of the symphony for 53 years and one of the most accomplished and influential orchestral trumpeters of his time.	2013-04-29T00:00:00Z	Adolph Herseth
Frank Bank, TV Actor, 71; &#xd; Lumpy on &#x2018;Leave It to Beaver&#x2019;	Frank Bank, who played the sweet teenage nitwit Lumpy Rutherford on the 1950s-60s  hit sitcom &#x201C;Leave It to Beaver,&#x201D;  died on Saturday in Los Angeles. He had celebrated his 71st birthday the day before.&#xa;   &#xa;His death was confirme	2013-04-18T00:00:00Z	Frank Bank
Phil Woosnam, Pioneer of North American Soccer, Dies at 80	Mr. Woosnam played professionally in Britain before becoming the commissioner of the North American Soccer League.	2013-07-22T00:00:00Z	Phil Woosnam
Erich Priebke, Nazi Who Carried Out Massacre of 335 Italians, Dies at 100	Mr. Priebke, who was under house arrest in Rome, helped organize the execution of 335 men and boys at the Ardeatine Caves in 1944.	2013-10-12T00:00:00Z	Erich Priebke
Toshi Seeger, Wife of Folk-Singing Legend, Dies at 91	Ms. Seeger married Pete Seeger in 1943, and he credited her with figuring out how to turn his artistic concepts into commercial successes, calling her “the brains of the family.”	2013-07-12T00:00:00Z	Toshi Seeger
Creator of Soviet-Era AK-47 Weapon Is Dead at Age 94	Lt. Gen. Mikhail T. Kalashnikov was the arms designer credited with creating the first in a series of the world’s most abundant firearms.	2013-12-24T00:00:00Z	Creator of Soviet-Era AK-47 Weapon Is Dead at Age 94
Donald J. Irwin, Connecticut Congressman and Treasurer, Dies at 86	Mr. Irwin, a Democrat, served three terms in Congress from southwestern Connecticut, two years as state treasurer and four years as mayor of Norwalk.	2013-07-10T00:00:00Z	Donald J. Irwin
Bill Mazer, Sports Fixture in New York, Dies at 92	Mr. Mazer, who spent more than 60 years in broadcasting, earned the nickname “The Amazin’ ” for his encyclopedic recall of sports facts.	2013-10-24T00:00:00Z	Bill Mazer
Kenneth Waltz, Foreign-Relations Expert, Dies at 88	Mr. Waltz, who was a senior research scholar at Columbia, was a pre-eminent thinker who was known for his contrarian, debate-provoking ideas.	2013-05-19T00:00:00Z	Kenneth Waltz
John Casablancas, Modeling Visionary, Dies at 70	Mr. Casablancas was the founder of the Elite Model Management agency and brought about the supermodel era in the fashion world.	2013-07-21T00:00:00Z	John Casablancas
Richard G. Stern, Writers’ Writer, Dies at 84	Mr. Stern’s classroom at the University of Chicago became a showcase for visiting literary eminences like Philip Roth.	2013-01-25T00:00:00Z	Richard G. Stern
Kenya: Deputy President Promises to Cooperate With International Court	William Ruto promised the International Criminal Court on Tuesday that he and President Uhuru Kenyatta would cooperate, despite calling the charges against them the result of a “conspiracy of lies.”	2013-05-15T00:00:00Z	Kenya: Deputy President Promises to Cooperate With International Court
Erwin Harris, Ad Executive Who Seized Cuban Assets, Dies at 91	Armed with a court order, Mr. Harris took planes, a Navy boat, cigars and a trainload of lard to cover an advertising contract the Castro government stopped paying.	2013-03-19T00:00:00Z	Erwin Harris
Richard Artschwager, Painter and Sculptor, Dies at 89	At a time when most artists worked in clearly determined styles, Mr. Artschwager slyly confounded the usual categories.	2013-02-11T00:00:00Z	Richard Artschwager
Ray Price, Groundbreaking, Hit-Making Country Singer, Dies at 87	Mr. Price placed more than 100 singles on the country charts, including hits like “Make the World Go Away,” and helped change the genre.	2013-12-17T00:00:00Z	Ray Price
Sidney Lanier, 90, Experimental Stage Producer, Is Dead	Mr. Lanier, then an Episcopal priest, made his church a home for the American Place Theater in 1963.	2013-10-06T00:00:00Z	Sidney Lanier
Dick Newick, Sailboat Design Visionary, Dies at  87	Mr. Newick designed boats with two and three hulls that would beat conventional yachts in major races. The AC72 catamarans competing for the America’s Cup descend from concepts he helped develop.	2013-09-16T00:00:00Z	Dick Newick
Saul Leiter, Photographer Who Captured New York’s Palette, Dies at 89	Where other eminent photographers in midcentury captured the city most often in sharp-edged black and white, Mr. Leiter was one of the first professionals to photograph it regularly in color.	2013-11-28T00:00:00Z	Saul Leiter
Harry Reems, Star of ‘Deep Throat’ Film, Dies at 65	Mr. Reems became America’s first bona fide male porn star by appearing in the 1972 movie “Deep Throat.”	2013-03-21T00:00:00Z	Harry Reems
Joseph Napolitan, Pioneering Campaign Consultant, Dies at 84	Mr. Napolitan&#8217;s use of polling and advertising heralded the rise of independent political strategists like himself and the waning power of party organizations in managing campaigns.	2013-12-12T00:00:00Z	Joseph Napolitan
Larry Benoit, ‘Babe Ruth for Hunters,’ Is Dead at 89	Mr. Benoit tracked whitetail deer through northern New England and southern Canada for more than seven decades and became one of the nation’s most revered deer hunters.	2013-10-17T00:00:00Z	Larry Benoit
Les Brown, Pioneer in Television Journalism, Dies at 84	Mr. Brown founded and edited a groundbreaking magazine that followed the growth of the broadcast medium and produced an authoritative encyclopedia about it.	2013-11-15T00:00:00Z	Les Brown
Don James, Longtime Washington Huskies Football Coach, Dies at 80	During his 18-season tenure as the coach, James, known as the Dawgfather, led Washington to 10 bowl victories, 6 conference titles and a share of the 1991 national championship with Miami.	2013-10-22T00:00:00Z	Don James
Carmine Infantino, Reviver of Batman and Flash, Dies at 87	Mr. Infantino, a creator of a spate of superheroes, rose from artist to editor to publisher of the comic-book titan DC Comics.	2013-04-06T00:00:00Z	Carmine Infantino
Evan Connell, Novelist of Many Genres, Is Dead at 88	Mr. Connell’s diverse writing included two books, “Mrs. Bridge” and “Mr. Bridge,” that ended up being made into a film starring Paul Newman and Joanne Woodward.	2013-01-11T00:00:00Z	Evan Connell
Gilbert Taylor, Celebrated Cinematographer, Dies at 99	Mr. Taylor brought a cinéma vérité sensibility to black-and-white pictures like “Dr. Strangelove,” and also masterminded the bright, clean shots for “Star Wars.”	2013-08-27T00:00:00Z	Gilbert Taylor
David Wall, a Prince Among Dancers, Is Dead at 67	Mr. Wall, a handsome redhead widely known as Ginger, became the youngest principal dancer in the history of the Royal Ballet in 1966.	2013-06-21T00:00:00Z	David Wall
Conrad Bain, Father on ‘Diff’rent Strokes’, Dies at 89	Mr. Bain was a stage and film actor best known for a late-career TV role as the white adoptive father of two poor black boys on the long-running comedy “Diff’rent Strokes.”	2013-01-17T00:00:00Z	Conrad Bain
Robert H. Levenson, a Visionary Adman, Dies at 83	Mr. Levenson was an advertising executive who helped produce some of the mid-20th century’s most memorable campaigns for clients like Volkswagen, El Al and Sara Lee.	2013-01-18T00:00:00Z	Robert H. Levenson
Martin Zweig, Who Forecast ’87 Market Crash, Dies at 70	The investor, author and analyst had a history of accurately predicting the stock market.	2013-02-22T00:00:00Z	Martin Zweig
Earl Weaver, a Volatile, Visionary Manager, Dies at 82	Mr. Weaver was the Hall of Fame manager who brought pugnacity and pragmatism to the Baltimore Orioles dugout, tormenting a generation of umpires along the way.	2013-01-20T00:00:00Z	Earl Weaver
Marv Rotblatt, Pitcher Celebrated Through Softball Marathon, Dies at 85	Mr. Rotblatt appeared in only 35 major league games, but a small college memorialized him with an annual softball game that now lasts nearly 150 innings.	2013-07-23T00:00:00Z	Marv Rotblatt
Filip Topol, a Rock Musician of the Czech Revolution, Dies at 48	Mr. Topol and his band, Psi Vojaci, were Prague dissidents in their country’s heroic recent history.	2013-06-29T00:00:00Z	Filip Topol
Paul McIlhenny, Head of a Tabasco Empire, Dies at 68	Mr. Ilhenny, the culinary instigator and chief executive of the McIlhenny Company, invited guests to lick fiery daubs of Tabasco sauce, earning them entry into the Not So Ancient Order of the Not So Silver Spoon.	2013-02-25T00:00:00Z	Paul McIlhenny
Robert F. Capon, Who Wrote of God and Food, Dies at 87	The author of “The Supper of the Lamb: A Culinary Reflection” was the vicar of an Episcopal church on Long Island until his divorce.	2013-09-15T00:00:00Z	Robert F. Capon
Masao Yoshida, Nuclear Engineer and Chief at Fukushima Plant, Dies at 58	Mr. Yoshida won praise for his effort to minimize the damage at the power plant as multiple reactors spiraled out of control after a tsunami.	2013-07-10T00:00:00Z	Masao Yoshida
How Robert Schimmel Got the Last Word on Showtime's 'Inside Comedy'	After recording an interview with the stand-up comic Robert Schimmel, who died in 2010, David Steinberg and his “Inside Comedy” colleagues debated how best to present it – or whether to show it at all.	2013-04-10T09:00:50Z	How Robert Schimmel Got the Last Word on Showtime's 'Inside Comedy'
Billie Sol Estes, Texas Con Man Whose Fall Shook Up Washington, Dies at 88	Mr. Estes’s life captured America’s imagination, with its tales of business scams, political payoffs, covered-up killings and White House conspiracies.	2013-05-15T00:00:00Z	Billie Sol Estes
Founder of Military Museum Is Killed by Police in Connecticut	John Valluzzo of Ridgefield, Conn., who the police said had ignored orders to drop a handgun, founded the Military Museum of Southern New England.	2013-05-27T00:00:00Z	Founder of Military Museum Is Killed by Police in Connecticut
Gen. Vo Nguyen Giap, Who Ousted U.S. From Vietnam, Is Dead	General Giap, whose victory at Dien Bien Phu forced France from Vietnam, later waged a long battle with the United States military that eventually sapped America’s political will to fight.	2013-10-05T00:00:00Z	Gen. Vo Nguyen Giap
François Jacob, Geneticist Who Pointed to How Traits Are Inherited, Dies at 92	Dr. Jacob was a French war hero whose combat wounds forced him to change his career paths from surgeon to scientist, a pursuit that led to a Nobel Prize in 1965.	2013-04-26T00:00:00Z	François Jacob
Mikhail Kalashnikov, Creator of AK-47, Dies at 94	General Kalashnikov sometimes lamented the weapon’s unchecked distribution but took pride in having invented the rifle, the most abundant firearm ever made.	2013-12-24T00:00:00Z	Mikhail Kalashnikov
Mario Montez, a Warhol Glamour Avatar, Dies at 78	Mr. Montez was considered Andy Warhol’s first drag “superstar” and became a fixture in his films.	2013-10-04T00:00:00Z	Mario Montez
Cartha D. DeLoach, No. 3 in the F.B.I., Is Dead at 92	Mr. DeLoach, who spent more than 25 years in the F.B.I., served as a powerful intermediary between J. Edgar Hoover and President Lyndon B. Johnson.	2013-03-16T00:00:00Z	Cartha D. DeLoach
Harry F. Byrd, Virginia Senator, Dies at 98	The son of a senator and originally appointed to his seat, Mr. Byrd was a conservative Democrat turned independent.	2013-08-01T00:00:00Z	Harry F. Byrd
Theodore Reed, Who Lifted National Zoo’s Profile, Dies at 90	Mr. Reed was the keeper of the celebrity pandas Ling-Ling and Hsing-Hsing, among other creatures, while he was the director of the National Zoo from 1958 to 1983.	2013-07-08T00:00:00Z	Theodore Reed
Gene Mako, Tennis Champion, Dies at 97	Mako and Don Budge teamed up to win two U.S. and two Wimbledon titles, and they met in the 1938 Open singles final, with Budge beating Mako to complete the sport’s first Grand Slam.	2013-06-18T00:00:00Z	Gene Mako
Torture Victim’s Body Is Found Near U.S. Base, Afghans Say	Afghan investigators said the man was seen in a videotape being tortured at the hands of an Afghan-American translator for an American special forces unit.	2013-05-22T00:00:00Z	Torture Victim’s Body Is Found Near U.S. Base
Hiroshi Nakajima, Leader of W.H.O., Dies at 84	Dr. Nakajima enlarged the World Health Organization’s focus on preventive medicine and vaccinations for children, but was criticized for mismanagement.	2013-01-29T00:00:00Z	Hiroshi Nakajima
Allen Rosenberg, Olympic Rowing Coach Who Transformed the Sport, Dies at 82	Mr. Rosenberg led the American rowing team to gold in the 1964 Olympics and brought an analytical approach to what was a sport of brute strength.	2013-12-14T00:00:00Z	Allen Rosenberg
Robert W. Fogel, Nobel-Winning Economist, Dies at 86	Mr. Fogel was widely known for work that aroused objections if not open hostility through his pioneering use of cliometrics, which applies economic theory and statistic methods to history.	2013-06-12T00:00:00Z	Robert W. Fogel
Ebert Was a Critic Whose Sting Was Salved by Caring	Roger Ebert cared deeply about the human emotions and aspirations that movies represented, and was happy to share those feelings with just about anybody.	2013-04-06T00:00:00Z	Ebert Was a Critic Whose Sting Was Salved by Caring
Rev. Will D. Campbell, Maverick Minister in Civil Rights Era, Dies at 88	Mr. Campbell, a rare white cleric with an extensive field record as a civil rights activist, also wrote  books that explored the human costs of racism.	2013-06-05T00:00:00Z	Rev. Will D. Campbell
Sheldon Hackney, Leader in Humanities, Dies at 79	Mr. Hackney was an educator and chairman of the National Endowment for the Humanities who organized  “national conversations” during the culturally fractious 1990s.	2013-09-17T00:00:00Z	Sheldon Hackney
Godfrey Sperling, Who Made Eggs for Press, Dies at 97	Mr. Sperling, a journalist with The Christian Science Monitor, organized breakfast meetings that became a Washington institution, bringing newsmakers together with news reporters.	2013-09-13T00:00:00Z	Godfrey Sperling
Bebo Valdés, a Force in World of Cuban Music, Dies at 94	Mr. Valdés, a pianist, arranger and composer, was at the center of Havana’s musical life in the pre-Castro era.	2013-03-25T00:00:00Z	Bebo Valdés
Robert Rheault, Green Beret Ensnared in Vietnam Murder Case, Dies at 87	Colonel Rheault inspired two disparate Vietnam-related narratives: Brando’s Kurtz character in “Apocalypse Now” and Daniel Ellsberg’s leak of the Pentagon Papers.	2013-11-02T00:00:00Z	Robert Rheault
Charlie Trotter Dies at 54; Chef Made Chicago a Must	With his flagship restaurant, Mr. Trotter helped establish Chicago as a serious dining city and helped raise the standards of American cooking through books and television.	2013-11-06T00:00:00Z	Charlie Trotter Dies at 54; Chef Made Chicago a Must
Sid Bernstein, Who Helped Import the Beatles, Dies at 95	Mr. Bernstein was a soft-spoken impresario whose long career included bringing the Beatles to Carnegie Hall in 1964 and Shea Stadium in 1965.	2013-08-22T00:00:00Z	Sid Bernstein
Mick Farren, British Rock ’n’ Roll Renaissance Man, Dies at 69	Mr. Farren was a singer, songwriter, rock critic and historian, and science-fiction author.	2013-08-05T00:00:00Z	Mick Farren
‘It’s More Like a Suicide Than a Sport’	Base jumping was the thrill of Hervé Le Gallou’s life. It is also what killed him.	2013-07-28T00:00:00Z	‘It’s More Like a Suicide Than a Sport’
Ray Harryhausen, Whose Creatures Battled Jason and Sinbad, Dies at 92	From sword fights to swooping pterodactyls, Mr. Harryhausen created and photographed many of the most memorable fantasy-adventure sequences in movie history.	2013-05-08T00:00:00Z	Ray Harryhausen
Olen Burrage Dies at 82; Linked to Killings in 1964	Mr. Burrage was a Ku Klux Klan member who owned the Mississippi farm where the bodies of three civil rights workers were found, and he was later acquitted in a federal trial.	2013-03-19T00:00:00Z	Olen Burrage Dies at 82; Linked to Killings in 1964
After Decades Among Yankees and Mets, a Shutter Stops Snapping	Baseball stadiums in New York are a little quieter after the death of Louis Requena, who spent decades taking photographs there.	2013-06-26T00:00:00Z	After Decades Among Yankees and Mets
